#;Código modular;Nombre;Nivel / Modalidad;Estado;Departamento;Provincia;Distrito
1571;266130;60627 CESAR VALLEJO;Primaria;Activo;Loreto;Requena;Saquena
1572;1155324;60627 CESAR VALLEJO;Secundaria;Activo;Loreto;Requena;Saquena
1573;300210;60629;Primaria;Activo;Loreto;Requena;Saquena
1574;300285;60630;Primaria;Activo;Loreto;Requena;Saquena
1575;300392;60632 CORINA CABRERA BURGA;Primaria;Activo;Loreto;Requena;Puinahua
1576;1540533;60632 CORINA CABRERA BURGA;Secundaria;Activo;Loreto;Requena;Puinahua
1577;300400;60633;Primaria;Activo;Loreto;Requena;Puinahua
1578;300426;60635;Primaria;Activo;Loreto;Requena;Maquia
1579;1629104;60635;Secundaria;Activo;Loreto;Requena;Maquia
1580;300434;60636;Primaria;Activo;Loreto;Requena;Maquia
1581;1540459;60636;Secundaria;Activo;Loreto;Requena;Maquia
1582;300442;60637;Primaria;Activo;Loreto;Requena;Maquia
1583;721522;60637;Secundaria;Activo;Loreto;Requena;Maquia
1584;300459;60638;Primaria;Activo;Loreto;Requena;Alto Tapiche
1585;685099;60638;Secundaria;Activo;Loreto;Requena;Alto Tapiche
1586;300467;60639;Primaria;Activo;Loreto;Requena;Tapiche
1587;1149251;60639;Secundaria;Activo;Loreto;Requena;Tapiche
1588;397281;60640;Primaria;Activo;Loreto;Requena;Requena
1589;397307;60641;Primaria;Activo;Loreto;Requena;Alto Tapiche
1590;397323;60644 VICTOR RAUL H. DE LA TORRE;Primaria;Activo;Loreto;Requena;Requena
1591;397349;60647;Primaria;Activo;Loreto;Requena;Jenaro Herrera
1592;1775469;60647;Secundaria;Activo;Loreto;Requena;Jenaro Herrera
1593;397356;60648;Primaria;Activo;Loreto;Requena;Requena
1594;397364;60649;Primaria;Activo;Loreto;Requena;Jenaro Herrera
1595;397372;60650;Primaria;Activo;Loreto;Requena;Requena
1596;1776061;60650;Secundaria;Activo;Loreto;Requena;Requena
1597;397380;60651;Primaria;Activo;Loreto;Requena;Requena
1598;397398;60652;Primaria;Activo;Loreto;Requena;Requena
1599;397406;60653;Primaria;Activo;Loreto;Requena;Requena
1600;397414;60654;Primaria;Activo;Loreto;Requena;Requena
1601;397422;60655;Primaria;Activo;Loreto;Requena;Requena
1602;397430;60656;Primaria;Activo;Loreto;Requena;Requena
1603;397448;60657 LIBERTADOR SIMON BOLIVAR;Primaria;Activo;Loreto;Requena;Requena
1604;1209774;60657 LIBERTADOR SIMON BOLIVAR;Secundaria;Activo;Loreto;Requena;Requena
1605;397455;60658;Primaria;Activo;Loreto;Requena;Requena
1606;1743236;60658;Secundaria;Activo;Loreto;Requena;Requena
1607;397463;60660;Primaria;Activo;Loreto;Requena;Requena
1608;300475;60661;Primaria;Activo;Loreto;Requena;Capelo
1609;300483;60662;Primaria;Activo;Loreto;Requena;Emilio San Martín
1610;300491;60663;Primaria;Activo;Loreto;Requena;Emilio San Martín
1611;1538750;60664;Primaria;Activo;Loreto;Loreto;Urarinas
1612;300509;60664;Primaria;Activo;Loreto;Requena;Puinahua
1613;300517;60665;Primaria;Activo;Loreto;Requena;Emilio San Martín
1614;1791656;60665;Secundaria;Activo;Loreto;Requena;Emilio San Martín
1615;300525;60666;Primaria;Activo;Loreto;Requena;Emilio San Martín
1616;1767599;60666;Secundaria;Activo;Loreto;Requena;Emilio San Martín
1617;300541;60667;Primaria;Activo;Loreto;Requena;Emilio San Martín
1618;1155514;60667;Secundaria;Activo;Loreto;Requena;Emilio San Martín
1619;300558;60668;Primaria;Activo;Loreto;Requena;Emilio San Martín
1620;300566;60669;Primaria;Activo;Loreto;Requena;Emilio San Martín
1621;300574;60670;Primaria;Inactivo;Loreto;Requena;Emilio San Martín
1622;300582;60671;Primaria;Activo;Loreto;Requena;Emilio San Martín
1623;1540558;60671;Secundaria;Activo;Loreto;Requena;Emilio San Martín
1624;1542067;60671;Secundaria;Inactivo;Loreto;Requena;Emilio San Martín
1625;300590;60672;Primaria;Activo;Loreto;Requena;Emilio San Martín
1626;300608;60673 ALBERTO VILCHEZ MARTINEZ;Primaria;Activo;Loreto;Requena;Emilio San Martín
1627;1155472;60673 ALBERTO VILCHEZ MARTINEZ;Secundaria;Activo;Loreto;Requena;Emilio San Martín
1628;300616;60674;Primaria;Activo;Loreto;Requena;Emilio San Martín
1629;1793272;60674;Secundaria;Activo;Loreto;Requena;Emilio San Martín
1630;300624;60675;Primaria;Activo;Loreto;Requena;Emilio San Martín
1631;300632;60676;Primaria;Activo;Loreto;Requena;Puinahua
1632;300640;60677;Primaria;Activo;Loreto;Requena;Saquena
1633;300657;60678;Primaria;Activo;Loreto;Requena;Capelo
1634;1151307;60678;Secundaria;Activo;Loreto;Requena;Capelo
1635;1149772;60679;Primaria;Activo;Loreto;Requena;Capelo
1636;300673;60680;Primaria;Activo;Loreto;Requena;Maquia
1637;300681;60681;Primaria;Activo;Loreto;Requena;Emilio San Martín
1638;1767573;60681;Secundaria;Activo;Loreto;Requena;Emilio San Martín
1639;397489;60682;Primaria;Activo;Loreto;Requena;Jenaro Herrera
1640;1148550;60683;Primaria;Activo;Loreto;Requena;Jenaro Herrera
1641;397505;60684;Primaria;Activo;Loreto;Requena;Jenaro Herrera
1642;1576990;60684;Secundaria;Activo;Loreto;Requena;Jenaro Herrera
1643;397513;60686;Primaria;Inactivo;Loreto;Requena;Jenaro Herrera
1644;300707;60687;Primaria;Activo;Loreto;Loreto;Nauta
1645;300715;60688;Primaria;Activo;Loreto;Requena;Saquena
1646;300731;60690;Primaria;Activo;Loreto;Requena;Saquena
1647;300749;60691;Primaria;Activo;Loreto;Requena;Saquena
1648;300756;60692;Primaria;Activo;Loreto;Requena;Saquena
1649;300764;60693 MENSAJERO DE LA PAZ;Primaria;Activo;Loreto;Requena;Saquena
1650;300772;60694;Primaria;Activo;Loreto;Requena;Saquena
1651;401406;60695 NUESTRA SEÑORA DE AMAZONAS;Primaria;Activo;Loreto;Loreto;Nauta
1652;803940;60695 NUESTRA SEÑORA DE AMAZONAS;Secundaria;Activo;Loreto;Loreto;Nauta
1653;300798;60696;Primaria;Activo;Loreto;Requena;Puinahua
1654;1155241;60696;Secundaria;Activo;Loreto;Requena;Puinahua
1655;300806;60697;Primaria;Activo;Loreto;Requena;Puinahua
1656;1759885;60697;Secundaria;Activo;Loreto;Requena;Puinahua
1657;1154277;60700 JUAN PABLO II;Primaria;Activo;Loreto;Requena;Requena
1658;1262534;60700 JUAN PABLO II;Secundaria;Activo;Loreto;Requena;Requena
1659;1155357;60702;Primaria;Activo;Loreto;Requena;Puinahua
1660;300855;60703;Primaria;Activo;Loreto;Requena;Puinahua
1661;1735067;60703;Secundaria;Activo;Loreto;Requena;Puinahua
1662;300863;60704;Primaria;Activo;Loreto;Requena;Puinahua
1663;300871;60705;Primaria;Activo;Loreto;Requena;Puinahua
1664;1577006;60705;Secundaria;Activo;Loreto;Requena;Puinahua
1665;300889;60706;Primaria;Activo;Loreto;Requena;Puinahua
1666;300897;60707;Primaria;Activo;Loreto;Requena;Puinahua
1667;300905;60708;Primaria;Activo;Loreto;Requena;Puinahua
1668;300939;60711 MONS. VICTOR DE LA PEÑA PEREZ;Primaria;Activo;Loreto;Requena;Maquia
1669;721530;60711 MONS. VICTOR DE LA PEÑA PEREZ;Secundaria;Activo;Loreto;Requena;Maquia
1670;300947;60712;Primaria;Activo;Loreto;Requena;Maquia
1671;300954;60713;Primaria;Activo;Loreto;Requena;Maquia
1672;1756055;60713;Secundaria;Activo;Loreto;Requena;Maquia
1673;300962;60714 LUIS GUILLERMO PEZO DELERNA;Primaria;Activo;Loreto;Requena;Maquia
1674;1155126;60714 LUIS GUILLERMO PEZO DELERNA;Secundaria;Activo;Loreto;Requena;Maquia
1675;300970;60715;Primaria;Activo;Loreto;Requena;Maquia
1676;1209733;60715;Secundaria;Activo;Loreto;Requena;Maquia
1677;300988;60716;Primaria;Activo;Loreto;Requena;Maquia
1678;1765072;60716;Secundaria;Activo;Loreto;Requena;Maquia
1679;300996;60717;Primaria;Activo;Loreto;Requena;Maquia
1680;301002;60718;Primaria;Activo;Loreto;Requena;Maquia
1681;1756063;60718;Secundaria;Activo;Loreto;Requena;Maquia
1682;301010;60719;Primaria;Activo;Loreto;Requena;Maquia
1683;1794783;60719;Secundaria;Activo;Loreto;Requena;Maquia
1684;301028;60720;Primaria;Activo;Loreto;Requena;Maquia
1685;1209659;60720;Secundaria;Activo;Loreto;Requena;Maquia
1686;301036;60721;Primaria;Activo;Loreto;Requena;Maquia
1687;301044;60722;Primaria;Activo;Loreto;Requena;Maquia
1688;301051;60723;Primaria;Activo;Loreto;Requena;Saquena
1689;301069;60724;Primaria;Activo;Loreto;Requena;Maquia
1690;301077;60725;Primaria;Activo;Loreto;Requena;Maquia
1691;1155167;60725;Secundaria;Activo;Loreto;Requena;Maquia
1692;301085;60726;Primaria;Activo;Loreto;Requena;Emilio San Martín
1693;1767565;60726;Secundaria;Activo;Loreto;Requena;Emilio San Martín
1694;301093;60727;Primaria;Activo;Loreto;Requena;Maquia
1695;301101;60728;Primaria;Activo;Loreto;Requena;Maquia
1696;301119;60729;Primaria;Activo;Loreto;Requena;Maquia
1697;1149491;60730;Primaria;Activo;Loreto;Requena;Alto Tapiche
1698;301135;60731;Primaria;Activo;Loreto;Requena;Requena
1699;301143;60732;Primaria;Activo;Loreto;Requena;Requena
1700;301150;60733;Primaria;Activo;Loreto;Requena;Maquia
1701;301168;60734;Primaria;Activo;Loreto;Requena;Alto Tapiche
1702;301176;60735;Primaria;Activo;Loreto;Requena;Alto Tapiche
1703;301184;60736;Primaria;Activo;Loreto;Requena;Alto Tapiche
1704;301192;60737;Primaria;Activo;Loreto;Requena;Requena
1705;301200;60738;Primaria;Activo;Loreto;Requena;Alto Tapiche
1706;301218;60739;Primaria;Activo;Loreto;Requena;Tapiche
1707;301291;60740 VICTORIA ABAD CORREA;Primaria;Activo;Loreto;Requena;Maquia
1708;721548;60740 VICTORIA ABAD CORREA;Secundaria;Activo;Loreto;Requena;Maquia
1709;397521;60741 JOSE SILVERIO BALANDRA;Primaria;Activo;Loreto;Requena;Soplin
1710;1155407;60741 JOSE SILVERIO BALANDRA;Secundaria;Activo;Loreto;Requena;Soplin
1711;397539;60742;Primaria;Activo;Loreto;Requena;Jenaro Herrera
1712;398446;60743 ENRY HERVE LINARES SOTO;Primaria;Activo;Loreto;Maynas;Belén
1713;1563238;60743 ENRY HERVE LINARES SOTO;Secundaria;Activo;Loreto;Maynas;Belén
1714;398453;60744 INGENIERA CARMELA BAOS RIOS;Primaria;Activo;Loreto;Maynas;Iquitos
1715;1147578;60744 INGENIERA CARMELA BAOS RIOS;Secundaria;Activo;Loreto;Maynas;Iquitos
1716;400044;60745;Primaria;Activo;Loreto;Maynas;Fernando Lores
1717;400051;60746;Primaria;Activo;Loreto;Maynas;Fernando Lores
1718;264903;60746 - YARINA DE SANTA CLARA;Primaria;Activo;Loreto;Mariscal Ramón Castilla;San Pablo
1719;203380;60747 BILINGUE INTERCULTURAL;Primaria;Activo;Loreto;Mariscal Ramón Castilla;Yavari
1720;1795822;60747 BILINGUE INTERCULTURAL;Secundaria;Activo;Loreto;Mariscal Ramón Castilla;Yavari
1721;398842;60747 DIVINO MAESTRO;Primaria;Activo;Loreto;Maynas;Iquitos
1722;397851;60748 BILINGUE INTERCULTURAL;Primaria;Activo;Loreto;Mariscal Ramón Castilla;San Pablo
1723;401026;60749;Primaria;Activo;Loreto;Maynas;Indiana
1724;202176;60750;Primaria;Activo;Loreto;Maynas;Mazan
1725;1148840;60751;Primaria;Activo;Loreto;Maynas;Mazan
1726;203190;60752;Primaria;Activo;Loreto;Maynas;Napo
1727;203208;60753;Primaria;Activo;Loreto;Maynas;Mazan
1728;1307743;60753;Secundaria;Activo;Loreto;Maynas;Mazan
1729;398461;60754;Primaria;Activo;Loreto;Maynas;Iquitos
1730;401034;60755;Primaria;Activo;Loreto;Maynas;Belén
1731;1147891;60755;Secundaria;Activo;Loreto;Maynas;Belén
1732;398859;60756 CLAVERITO;Primaria;Activo;Loreto;Maynas;Iquitos
1733;1527225;60756 CLAVERITO;Secundaria;Activo;Loreto;Maynas;Iquitos
1734;203216;60757;Primaria;Activo;Loreto;Maynas;Napo
1735;203224;60758;Primaria;Activo;Loreto;Maynas;Napo
1736;203232;60759;Primaria;Activo;Loreto;Maynas;Torres Causana
1737;264911;60761;Primaria;Activo;Loreto;Maynas;Las Amazonas
1738;397869;60761 BILINGUE INTERCULTURAL;Primaria;Activo;Loreto;Mariscal Ramón Castilla;Ramón Castilla
1739;399543;60762;Primaria;Activo;Loreto;Putumayo;Yaguas
1740;397877;60766;Primaria;Activo;Loreto;Mariscal Ramón Castilla;Ramón Castilla
1741;397885;60767 - BILINGUE INTERCULTURAL;Primaria;Activo;Loreto;Mariscal Ramón Castilla;Ramón Castilla
1742;397893;60768 - BILINGUE INTERCULTURAL;Primaria;Activo;Loreto;Mariscal Ramón Castilla;Ramón Castilla
1743;397901;60769 BILINGUE INTERCULTURAL;Primaria;Activo;Loreto;Mariscal Ramón Castilla;Ramón Castilla
1744;203240;60770;Primaria;Activo;Loreto;Maynas;Napo
1745;1642420;60770;Secundaria;Activo;Loreto;Maynas;Napo
1746;203257;60771;Primaria;Activo;Loreto;Maynas;Mazan
1747;266023;60772 JUAN PABLO II;Primaria;Activo;Loreto;Loreto;Urarinas
1748;803973;60772 JUAN PABLO II;Secundaria;Activo;Loreto;Loreto;Urarinas
1749;264929;60773;Primaria;Activo;Loreto;Maynas;Las Amazonas
1750;202416;60773;Primaria;Activo;Loreto;Loreto;Parinari
1751;473363;60774;Primaria;Activo;Loreto;Maynas;Mazan
1752;401414;60774;Primaria;Activo;Loreto;Loreto;Nauta
1753;1537323;60774-II;Primaria;Inactivo;Loreto;Loreto;Nauta
1754;264937;60775;Primaria;Activo;Loreto;Mariscal Ramón Castilla;Pebas
1755;401422;60775 HECTOR ISUIZA HIDALGO;Primaria;Activo;Loreto;Loreto;Nauta
1756;1149988;60775 HECTOR ISUIZA HIDALGO;Secundaria;Activo;Loreto;Loreto;Nauta
1757;265934;60776;Primaria;Activo;Loreto;Loreto;Tigre
1758;397919;60776;Primaria;Activo;Loreto;Mariscal Ramón Castilla;Ramón Castilla
1759;265942;60777;Primaria;Activo;Loreto;Loreto;Urarinas
1760;1781368;60777;Secundaria;Activo;Loreto;Loreto;Urarinas
1761;203398;60777 - POBRE ALEGRE;Primaria;Activo;Loreto;Mariscal Ramón Castilla;Yavari
1762;398479;60778;Primaria;Activo;Loreto;Maynas;San Juan Bautista
1763;1346576;60778;Secundaria;Activo;Loreto;Maynas;San Juan Bautista
1764;265959;60779;Primaria;Activo;Loreto;Loreto;Tigre
1765;1791235;60779;Secundaria;Activo;Loreto;Loreto;Tigre
1766;401430;60780;Primaria;Activo;Loreto;Loreto;Nauta
1767;397547;60780;Primaria;Inactivo;Loreto;Requena;Alto Tapiche
1768;1155431;60780;Primaria;Activo;Loreto;Requena;Saquena
1769;1759893;60780;Secundaria;Activo;Loreto;Requena;Saquena
1770;202424;60781;Primaria;Activo;Loreto;Loreto;Parinari
1771;301234;60781;Primaria;Activo;Loreto;Requena;Emilio San Martín
1772;1154798;60781;Primaria;Activo;Loreto;Requena;Soplin
1773;265967;60782;Primaria;Activo;Loreto;Loreto;Nauta
1774;397554;60782;Primaria;Activo;Loreto;Requena;Requena
1775;477844;60782;Primaria;Activo;Loreto;Requena;Emilio San Martín
1776;397562;60783;Primaria;Activo;Loreto;Requena;Requena
1777;265975;60783 MARIA PARADO DE BELLIDO;Primaria;Activo;Loreto;Loreto;Tigre
1778;1369073;60783 MARIA PARADO DE BELLIDO;Secundaria;Activo;Loreto;Loreto;Tigre
1779;265983;60784;Primaria;Activo;Loreto;Loreto;Trompeteros
1780;1781442;60784;Secundaria;Activo;Loreto;Loreto;Trompeteros
1781;301242;60784 JOSE JAVIER GARCIA OLORTEGUI;Primaria;Activo;Loreto;Requena;Puinahua
1782;1155282;60784 JOSE JAVIER GARCIA OLORTEGUI;Secundaria;Activo;Loreto;Requena;Puinahua
1783;301259;60785;Primaria;Activo;Loreto;Requena;Maquia
1784;301267;60786;Primaria;Activo;Loreto;Requena;Maquia
1785;301275;60787;Primaria;Activo;Loreto;Requena;Emilio San Martín
1786;1786896;60787;Secundaria;Activo;Loreto;Requena;Emilio San Martín
1787;301283;60788;Primaria;Activo;Loreto;Requena;Puinahua
1788;397570;60789 SARGENTO II FERNANDO LORES;Primaria;Activo;Loreto;Requena;Requena
1789;265991;60790;Primaria;Activo;Loreto;Loreto;Trompeteros
1790;1149137;60790;Secundaria;Activo;Loreto;Loreto;Trompeteros
1791;400689;60793;Primaria;Activo;Loreto;Maynas;Iquitos
1792;682260;60793 TUPAC AMARU;Secundaria;Activo;Loreto;Maynas;Iquitos
1793;401042;60794;Primaria;Activo;Loreto;Maynas;Indiana
1794;397927;60795 - BILINGUE INTERCULTURAL;Primaria;Activo;Loreto;Mariscal Ramón Castilla;Ramón Castilla
1795;397935;60796;Primaria;Inactivo;Loreto;Mariscal Ramón Castilla;Ramón Castilla
1796;397943;60797;Primaria;Activo;Loreto;Mariscal Ramón Castilla;San Pablo
1797;398487;60798;Primaria;Activo;Loreto;Maynas;Belén
1798;398867;60799 BILINGUE INTERCULTURAL;Primaria;Activo;Loreto;Maynas;Punchana
1799;473389;60800;Primaria;Activo;Loreto;Loreto;Nauta
1800;264945;60801;Primaria;Activo;Loreto;Maynas;Torres Causana
1801;473397;60805 - VILLA SANTA ROSA;Primaria;Activo;Loreto;Mariscal Ramón Castilla;Ramón Castilla
1802;473405;60806;Primaria;Activo;Loreto;Putumayo;Putumayo
1803;473413;60807;Primaria;Activo;Loreto;Maynas;Fernando Lores
1804;473421;60808;Primaria;Activo;Loreto;Maynas;Mazan
1805;264952;60809;Primaria;Activo;Loreto;Maynas;Las Amazonas
1806;1306414;60809;Secundaria;Activo;Loreto;Maynas;Las Amazonas
1807;473439;60810;Primaria;Activo;Loreto;Maynas;Belén
1808;473447;60811 HEROE NACIONAL FEDERICO MURAYARI SILVANO;Primaria;Activo;Loreto;Loreto;Nauta
1809;473462;60813;Primaria;Activo;Loreto;Maynas;Torres Causana
1810;473470;60814;Primaria;Activo;Loreto;Maynas;Napo
1811;1573617;60814;Secundaria;Activo;Loreto;Maynas;Napo
1812;473488;60815;Primaria;Activo;Loreto;Maynas;Napo
1813;473496;60816 ALMIRANTE MIGUEL GRAU;Primaria;Activo;Loreto;Requena;Yaquerana
1814;685057;60816 ALMIRANTE MIGUEL GRAU;Secundaria;Activo;Loreto;Requena;Yaquerana
1815;473504;60818;Primaria;Activo;Loreto;Maynas;Las Amazonas
1816;473512;60820;Primaria;Activo;Loreto;Loreto;Nauta
1817;1782663;60820;Secundaria;Activo;Loreto;Loreto;Nauta
1818;473538;60822;Primaria;Activo;Loreto;Maynas;Napo
1819;473553;60825;Primaria;Activo;Loreto;Loreto;Urarinas
1820;400770;60826 ELEODORO BUSTAMANTE LOPEZ;Primaria;Activo;Loreto;Maynas;Iquitos
1821;473561;60827;Primaria;Activo;Loreto;Loreto;Nauta
1822;473587;60829;Primaria;Activo;Loreto;Maynas;Indiana
1823;490839;60831;Primaria;Activo;Loreto;Maynas;Fernando Lores
1824;1150705;60831;Secundaria;Activo;Loreto;Maynas;Fernando Lores
1825;490821;60832 IVAN ENRIQUE VASQUEZ VALERA;Primaria;Activo;Loreto;Maynas;Fernando Lores
1826;490813;60833;Primaria;Activo;Loreto;Maynas;Fernando Lores
1827;490805;60834;Primaria;Activo;Loreto;Maynas;Fernando Lores
1828;504290;60835 RAFAEL SEGUNDO VASQUEZ GARCIA;Primaria;Activo;Loreto;Loreto;Nauta
1829;839852;60835 RAFAEL SEGUNDO VASQUEZ GARCIA;Secundaria;Activo;Loreto;Loreto;Nauta
1830;549873;60836;Primaria;Activo;Loreto;Maynas;Fernando Lores
1831;552273;60838;Primaria;Activo;Loreto;Maynas;San Juan Bautista
1832;547760;60839;Primaria;Activo;Loreto;Maynas;Punchana
1833;1527480;60839;Secundaria;Activo;Loreto;Maynas;Punchana
1834;550079;60841;Primaria;Activo;Loreto;Putumayo;Yaguas
1835;551077;60842;Primaria;Activo;Loreto;Maynas;Fernando Lores
1836;549469;60843;Primaria;Activo;Loreto;Maynas;Mazan
1837;547166;60848;Primaria;Activo;Loreto;Maynas;San Juan Bautista
1838;549253;60849;Primaria;Activo;Loreto;Maynas;Las Amazonas
1839;490888;60850;Primaria;Activo;Loreto;Loreto;Tigre
1840;548347;60854;Primaria;Activo;Loreto;Loreto;Urarinas
1841;548248;60855;Primaria;Activo;Loreto;Loreto;Urarinas
1842;551978;60856;Primaria;Activo;Loreto;Loreto;Nauta
1843;548362;60857;Primaria;Activo;Loreto;Maynas;Torres Causana
1844;490862;60858;Primaria;Activo;Loreto;Maynas;Napo
1845;264960;60864;Primaria;Activo;Loreto;Maynas;Las Amazonas
1846;202200;60865;Primaria;Activo;Loreto;Loreto;Parinari
1847;1765122;60865;Secundaria;Activo;Loreto;Loreto;Parinari
1848;202192;60866;Primaria;Activo;Loreto;Loreto;Parinari
1849;840124;60866;Secundaria;Activo;Loreto;Loreto;Parinari
1850;202218;60867;Primaria;Activo;Loreto;Loreto;Parinari
1851;1340637;60867;Secundaria;Activo;Loreto;Loreto;Parinari
1852;1154848;60868 ING. JOSE TORRES VASQUEZ;Secundaria;Activo;Loreto;Loreto;Parinari
1853;202226;60868 JOSE TORRES VASQUEZ;Primaria;Activo;Loreto;Loreto;Parinari
1854;266015;60870;Primaria;Activo;Loreto;Loreto;Urarinas
1855;266007;60871;Primaria;Activo;Loreto;Loreto;Urarinas
1856;1794296;60871;Secundaria;Activo;Loreto;Loreto;Urarinas
1857;397083;60872 ROSA MARIA SILVA DE NOGUEIRA;Primaria;Activo;Loreto;Loreto;Nauta
1858;566638;60872 ROSA MARIA SILVA DE NOGUEIRA;Secundaria;Activo;Loreto;Loreto;Nauta
1859;397067;60873;Primaria;Activo;Loreto;Loreto;Nauta
1860;397091;60874;Primaria;Activo;Loreto;Requena;Requena
1861;552174;60876;Primaria;Activo;Loreto;Maynas;Indiana
1862;504498;60877;Primaria;Activo;Loreto;Loreto;Nauta
1863;551176;60878;Primaria;Activo;Loreto;Mariscal Ramón Castilla;Yavari
1864;551275;60879 BILINGUE INTERCULTURAL;Primaria;Activo;Loreto;Mariscal Ramón Castilla;Ramón Castilla
1865;549972;60887;Primaria;Activo;Loreto;Putumayo;Putumayo
1866;549774;60888;Primaria;Activo;Loreto;Maynas;Fernando Lores
1867;549675;60889;Primaria;Activo;Loreto;Maynas;Fernando Lores
1868;549576;60890;Primaria;Activo;Loreto;Maynas;Fernando Lores
1869;549360;60891;Primaria;Activo;Loreto;Maynas;Mazan
1870;549261;60892;Primaria;Activo;Loreto;Maynas;Mazan
1871;549162;60893;Primaria;Activo;Loreto;Maynas;Mazan
1872;548263;60895;Primaria;Activo;Loreto;Maynas;Napo
1873;547067;60896;Primaria;Activo;Loreto;Maynas;Iquitos
1874;546960;60897;Primaria;Activo;Loreto;Maynas;Alto Nanay
1875;546861;60898;Primaria;Activo;Loreto;Maynas;San Juan Bautista
1876;546762;60899;Primaria;Activo;Loreto;Maynas;Punchana
1877;546663;60900;Primaria;Activo;Loreto;Maynas;Belén
1878;549451;60901;Primaria;Activo;Loreto;Maynas;Belén
1879;549154;60902 - NAZARETH MONTE ISRAEL;Primaria;Activo;Loreto;Mariscal Ramón Castilla;Pebas
1880;490896;60903;Primaria;Activo;Loreto;Loreto;Tigre
1881;548354;60904 TNTE. CESAR A. LOPEZ ROJAS;Primaria;Activo;Loreto;Loreto;Trompeteros
1882;721001;60904 TNTE. CESAR A. LOPEZ ROJAS;Secundaria;Activo;Loreto;Loreto;Trompeteros
1883;548255;60905;Primaria;Activo;Loreto;Loreto;Trompeteros
1884;1739457;60905;Secundaria;Activo;Loreto;Loreto;Trompeteros
1885;551879;60915;Primaria;Activo;Loreto;Loreto;Nauta
1886;551572;60916;Primaria;Activo;Loreto;Requena;Saquena
1887;551770;60917;Primaria;Activo;Loreto;Maynas;Fernando Lores
1888;549063;60918;Primaria;Activo;Loreto;Maynas;Mazan
1889;721555;60918;Secundaria;Activo;Loreto;Maynas;Mazan
1890;548966;60919;Primaria;Activo;Loreto;Maynas;Mazan
1891;1148881;60920;Primaria;Activo;Loreto;Maynas;Mazan
1892;548164;60922;Primaria;Activo;Loreto;Maynas;Napo
1893;548065;60923;Primaria;Activo;Loreto;Maynas;Napo
1894;547968;60924;Primaria;Activo;Loreto;Maynas;Napo
1895;1148683;60925;Primaria;Activo;Loreto;Maynas;Napo
1896;481135;60926;Primaria;Activo;Loreto;Maynas;Alto Nanay
1897;549352;60927;Primaria;Activo;Loreto;Maynas;Las Amazonas
1898;1148717;60928 - BILINGUE INTERCULTURAL;Primaria;Activo;Loreto;Mariscal Ramón Castilla;Pebas
1899;548958;60929 BILINGUE INTERCULTURAL;Primaria;Activo;Loreto;Mariscal Ramón Castilla;Pebas
1900;512830;60930;Primaria;Activo;Loreto;Mariscal Ramón Castilla;Pebas
1901;548651;60931 SARGETO LORES DE CAMOTE ISLA;Primaria;Activo;Loreto;Mariscal Ramón Castilla;San Pablo
1902;548156;60932 GUARDIANES DE FRONTERA;Primaria;Activo;Loreto;Loreto;Trompeteros
1903;1150226;60932 GUARDIANES DE FRONTERA;Secundaria;Activo;Loreto;Loreto;Trompeteros
1904;548040;60939;Primaria;Activo;Loreto;Loreto;Urarinas
1905;547943;60940;Primaria;Activo;Loreto;Loreto;Urarinas
1906;1785351;60940;Secundaria;Activo;Loreto;Loreto;Urarinas
1907;547745;60942;Primaria;Activo;Loreto;Loreto;Urarinas
1908;1538859;60942;Secundaria;Activo;Loreto;Loreto;Urarinas
1909;551671;60944;Primaria;Activo;Loreto;Loreto;Nauta
1910;1793934;60944;Secundaria;Activo;Loreto;Loreto;Nauta
1911;531368;60946 MARISCAL OSCAR R. BENAVIDES;Primaria;Activo;Loreto;Maynas;Iquitos
1912;512137;60947;Primaria;Activo;Loreto;Loreto;Nauta
1913;1150028;60947;Secundaria;Activo;Loreto;Loreto;Nauta
1914;556811;60948;Primaria;Activo;Loreto;Requena;Yaquerana
1915;1793017;60948;Secundaria;Activo;Loreto;Requena;Yaquerana
1916;512533;60951;Primaria;Activo;Loreto;Maynas;Mazan
1917;546283;60952;Primaria;Activo;Loreto;Requena;Soplin
1918;556845;60953;Primaria;Activo;Loreto;Loreto;Tigre
1919;544189;60954;Primaria;Activo;Loreto;Requena;Yaquerana
1920;512434;60955;Primaria;Activo;Loreto;Maynas;Belén
1921;572909;60956;Primaria;Activo;Loreto;Putumayo;Teniente Manuel Clavero
1922;203760;60957;Primaria;Activo;Loreto;Maynas;Fernando Lores
1923;531566;60958;Primaria;Activo;Loreto;Requena;Maquia
1924;544080;60959;Primaria;Activo;Loreto;Maynas;Indiana
1925;1148329;60960;Primaria;Activo;Loreto;Maynas;San Juan Bautista
1926;1306380;60960;Secundaria;Activo;Loreto;Maynas;San Juan Bautista
1927;556878;60961;Primaria;Activo;Loreto;Maynas;Belén
1928;556902;60962;Primaria;Activo;Loreto;Maynas;Fernando Lores
1929;556936;60963;Primaria;Activo;Loreto;Maynas;San Juan Bautista
1930;572933;60964;Primaria;Activo;Loreto;Putumayo;Teniente Manuel Clavero
1931;556993;60965;Primaria;Activo;Loreto;Putumayo;Teniente Manuel Clavero
1932;557025;60966;Primaria;Activo;Loreto;Loreto;Parinari
1933;557058;60967;Primaria;Activo;Loreto;Loreto;Parinari
1934;557082;60968;Primaria;Activo;Loreto;Loreto;Parinari
1935;557116;60969;Primaria;Activo;Loreto;Maynas;Napo
